START OF TRACE: 19-Sep-2017 12:21:29.767 on Reigi

mm:ss.ttt  Thr  Event  TotalTime   NetTime  Function
21:33.240   15             26908     26908    :   RecoveryTestThread.LoopForever
21:33.267   15             26723     26723    :   RecoveryTestThread.LoopForever
21:33.294   15             28829     28829    :   RecoveryTestThread.LoopForever
21:33.322   15             29420     29420    :   RecoveryTestThread.LoopForever
21:33.352   15             27390     27390    :   RecoveryTestThread.LoopForever
21:33.379   15             27387     27387    :   RecoveryTestThread.LoopForever
21:33.407   15             27051     27051    :   RecoveryTestThread.LoopForever
21:33.434   15             26853     26853    :   RecoveryTestThread.LoopForever
21:33.461   15             26825     26825    :   RecoveryTestThread.LoopForever
21:33.487   15             26838     26838    :   RecoveryTestThread.LoopForever
21:33.514   15             29255     29255    :   RecoveryTestThread.LoopForever
21:33.543   15             29379     29379    :   RecoveryTestThread.LoopForever
21:33.573   15             27700     27700    :   RecoveryTestThread.LoopForever
21:33.601   15             27011     27011    :   RecoveryTestThread.LoopForever
21:33.628   15             26994     26994    :   RecoveryTestThread.LoopForever
21:33.655   15             27302     27302    :   RecoveryTestThread.LoopForever
21:33.682   15             27048     27048    :   RecoveryTestThread.LoopForever
21:33.709   15             27282     27282    :   RecoveryTestThread.LoopForever
21:33.736   15             29066     29066    :   RecoveryTestThread.LoopForever
21:33.765   15             29637     29637    :   RecoveryTestThread.LoopForever
21:33.795   15             27444     27444    :   RecoveryTestThread.LoopForever
21:33.822   15             27483     27483    :   RecoveryTestThread.LoopForever
21:33.850   15             27097     27097    :   RecoveryTestThread.LoopForever
21:33.877   15             26714     26714    :   RecoveryTestThread.LoopForever
21:33.904   15             26859     26859    :   RecoveryTestThread.LoopForever
21:33.930   15             26893     26893    :   RecoveryTestThread.LoopForever
21:33.957   15             30949     30949    :   RecoveryTestThread.LoopForever
21:33.988   15             30532     30532    :   RecoveryTestThread.LoopForever
21:34.019   15             28143     28143    :   RecoveryTestThread.LoopForever
21:34.047   15             28522     28522    :   RecoveryTestThread.LoopForever
21:34.076   15             27477     27477    :   RecoveryTestThread.LoopForever
21:34.103   15             26863     26863    :   RecoveryTestThread.LoopForever
21:34.130   15             26893     26893    :   RecoveryTestThread.LoopForever
21:34.157   15             30084     30084    :   RecoveryTestThread.LoopForever
21:34.187   15             37500     37500    :   RecoveryTestThread.LoopForever
21:34.224   15             33274     33274    :   RecoveryTestThread.LoopForever
21:34.258   15             27383     27383    :   RecoveryTestThread.LoopForever
21:34.285   15             26655     26655    :   RecoveryTestThread.LoopForever
21:34.312   15             26900     26900    :   RecoveryTestThread.LoopForever
21:34.339   15             26898     26898    :   RecoveryTestThread.LoopForever
21:34.365   15             27562     27562    :   RecoveryTestThread.LoopForever
21:34.393   15             30122     30122    :   RecoveryTestThread.LoopForever
