SCHEDULER REPORT: 19-Sep-2017 12:20:26.845 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              16510 88.6  85.0
 1    root 4f08 w S   0    540    0    0   300  255048    352  1.9   0.4
 2    init 1a14 s S   0    541    0    0  1352  647674    725  3.9   0.4
 3    file 0ad0 B     0    378    0   57   392     163    302  1.6   3.9
 4    cout 1c78 B     0    328    0   50   340     152    329  1.8   4.0
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    112    0    0   760    5477     69  0.4   0.5
 7   stats 0b78 B S   0      4    0    0   316     244      0  0.0   0.0
 8     log 33d0 B S   0      4    0    1   364     156      0  0.0   0.0
 9     cli 4e14 O     0    154    1    0  1344   51381    258  1.4   4.1
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     18    0    0   252     204      1  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
15   recov 2470 P S   2     10    0    0  4188   46861     86  0.5   1.7
------------------------------------------------------------------------

Context switches: 369
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
20:23.865   4  1c78-         615291267982         615291269483^       592  
20:23.865   3  0ad0          615291269009         615291269064^        21  
20:23.865   3  0ad0-         615291269118         615291274266^      2033  
20:23.865   4  1c78          615291269540         615291269684^        56  
20:23.865   4  1c78-         615291269729         615291270635^       357  
20:23.866   4  1c78          615291270692         615291270744^        20  
20:23.866   4  1c78-         615291270793         615291274809^      1586  
20:23.867   3  0ad0          615291274404         615291274488^        33  
20:23.867   3  0ad0-         615291274552         615291276546^       787  
20:23.867   4  1c78          615291274901         615291274945^        17  
20:23.868   4  1c78-         615291274990         615291275575^       231  
20:23.868   4  1c78          615291275630         615291275685^        21  
20:23.868   4  1c78-         615291275734         615291404750^     50969  
20:23.868   3  0ad0          615291276662         615291276732^        27  
20:23.868   3  0ad0-         615291276840         615291279263^       957  
20:23.869   3  0ad0          615291279323         615291279374^        20  
20:23.869   3  0ad0-         615291279421         615291281560^       845  
20:23.870   3  0ad0          615291281628         615291281677^        19  
20:23.870   3  0ad0-         615291281724         615291283654^       762  
20:23.871   3  0ad0          615291283753         615291283824^        28  
20:23.871   3  0ad0-         615291283898         615291286473^      1017  
20:23.872   3  0ad0          615291286541         615291286597^        22  
20:23.872   3  0ad0-         615291286645         615291289318^      1056  
20:23.873   3  0ad0          615291289445         615291289521^        30  
20:23.873   3  0ad0-         615291289593         615291291940^       927  
20:23.874   3  0ad0          615291292000         615291292052^        20  
20:23.874   3  0ad0-         615291292098         615291294420^       917  
20:23.875   3  0ad0          615291294480         615291294530^        19  
20:23.875   3  0ad0-         615291294576         615291296885^       912  
20:23.876   3  0ad0          615291297066         615291297140^        29  
20:23.876   3  0ad0-         615291297206         615291299376^       857  
20:23.877   3  0ad0          615291299503         615291299572^        27  
20:23.877   3  0ad0-         615291299676         615291302177^       988  
20:23.878   3  0ad0          615291302276         615291302349^        28  
20:23.878   3  0ad0-         615291302475         615291305163^      1061  
20:23.879   3  0ad0          615291305265         615291305343^        30  
20:23.880   3  0ad0-         615291305425         615291307902^       978  
20:23.881   3  0ad0          615291307996         615291308073^        30  
20:23.881   3  0ad0-         615291308132         615291310338^       871  
20:23.882   3  0ad0          615291310419         615291310471^        20  
20:23.882   3  0ad0-         615291310518         615291312886^       935  
20:23.883   3  0ad0          615291312946         615291313000^        21  
20:23.883   3  0ad0-         615291313046         615291319325^      2480  
20:23.885   3  0ad0          615291319391         615291319414^         9  
20:23.919   4  1c78          615291404811         615291404833          8  
20:23.941   2  1a14-         615291460438         615291460523         33  
20:23.941   1  4f08-         615291460563         615291460689         49  
20:23.972   2  1a14-         615291539699         615291539812         44  
20:23.972   1  4f08-         615291539836         615291539964         50  
20:24.003   2  1a14-         615291619178         615291619404         89  
20:24.004   1  4f08-         615291619495         615291619822        129  
20:24.035   2  1a14-         615291698316         615291698619        119  
20:24.035   1  4f08-         615291698737         615291699031        116  
20:24.066   2  1a14-         615291777552         615291777961        161  
20:24.066   1  4f08-         615291777907         615291778199^       115  
20:24.097   2  1a14-         615291856611         615291857014        159  
20:24.098   1  4f08-         615291857135         615291857565        169  
20:24.129   2  1a14-         615291935704         615291936214        201  
20:24.129   1  4f08-         615291936086         615291936380^       116  
20:24.160   2  1a14-         615292014764         615292015105        134  
20:24.160   1  4f08-         615292015273         615292015682        161  
20:24.191   2  1a14-         615292093807         615292094218        162  
20:24.191   1  4f08-         615292094238         615292094539        118  
20:24.207   6  22ac          615292133486         615292133859        147  
20:24.207   6  22ac          615292134058         615292135966        753  
20:24.208   6  22ac          615292136157         615292137706        611  
20:24.208   6  22ac          615292137887         615292139996        833  
20:24.209   6  22ac          615292140196         615292145868       2240  
20:24.212   6  22ac          615292146070         615292148518        967  
20:24.213   6  22ac          615292148702         615292155883       2836  
20:24.216   6  22ac          615292156072         615292166881       4270  
20:24.220   6  22ac          615292167114         615292168344        485  
20:24.221   6  22ac          615292168528         615292168967        173  
20:24.221   6  22ac          615292169148         615292175749       2607  
20:24.222   2  1a14-         615292172604         615292172869^       104  
20:24.222   1  4f08-         615292172972         615292173382^       161  
20:24.223   6  22ac          615292175951         615292176214        103  
