START OF TRACE: 2-Mar-2021 08:12:06.262 on Reigi

mm:ss.ttt  Thr  Event  TotalTime   NetTime  Function
---------  ---  -----  ---------   -------  --------
12:06.262    1>                4         4    :   : Permanent.ctor
12:06.262    1                10         1    :   : MutexRegistry.BindMutex
12:06.262    1                 9         9    :   :   MutexRegistry.Find
12:06.262    1                20         0    :   SysMutex.ctor
12:06.262    1                 3         3    :   : Permanent.ctor
12:06.262    1                17         0    :   : MutexRegistry.BindMutex
12:06.262    1                16        16    :   :   MutexRegistry.Find
12:06.262    1                12         0    :   SysMutex.ctor
12:06.262    1                 3         3    :   : Permanent.ctor
12:06.262    1                 8         0    :   : MutexRegistry.BindMutex
12:06.262    1                 8         8    :   :   MutexRegistry.Find
12:06.262    1                23         0    :   SysMutex.ctor
12:06.262    1                 2         2    :   : Permanent.ctor
12:06.262    1                20         0    :   : MutexRegistry.BindMutex
12:06.262    1                19        19    :   :   MutexRegistry.Find
12:06.262    1                13         0    :   SysMutex.ctor
12:06.262    1                 2         2    :   : Permanent.ctor
12:06.262    1                10         0    :   : MutexRegistry.BindMutex
12:06.262    1                 9         9    :   :   MutexRegistry.Find
12:06.262    1                15         0    :   SysMutex.ctor
12:06.262    1                 2         2    :   : Permanent.ctor
12:06.262    1                12         0    :   : MutexRegistry.BindMutex
12:06.262    1                11        11    :   :   MutexRegistry.Find
12:06.262    1                29         0    :   SysMutex.ctor
12:06.262    1                 2         2    :   : Permanent.ctor
12:06.262    1                26         0    :   : MutexRegistry.BindMutex
12:06.262    1                25        25    :   :   MutexRegistry.Find
12:06.262    1                12        12    :   StackArg.ctor(ptrs)
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 0         0    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
12:06.262    1                 1         1    :   CxxWord.ctor
