SCHEDULER REPORT: 19-Sep-2017 12:21:29.667 on Reigi
for interval beginning at 12:20:08.208
------------------------------------------------------------------------
      THREADS      |    SINCE START OF CURRENT 15-MIN INTERVAL    | LAST
                   |            rtc  max   max     max  total     |5 SEC
id    name host f b| ex yields  t/o msgs stack   usecs  msecs %cpu| %cpu
------------------------------------------------------------------------
      idle                                              55520 68.2  99.0
 1    root 4f08 w S   0   1204    0    0   300  255048    458  0.6   0.5
 2    init 1a14 s S   0   1205    0    0  1352  647674    841  1.0   0.5
 3    file 0ad0 B     0   1457    0   57   392     163  12085 14.8   0.0
 4    cout 1c78 B     0   1187    0   50   432     152  11314 13.9   0.0
 5     cin 5708 B C   0      3    0    0   212      59      0  0.0   0.0
 6  objaud 22ac A S   0    334    0    0   760    5477    161  0.2   0.0
 7   stats 0b78 B S   0     16    0    0   316     244      1  0.0   0.0
 8     log 33d0 B S   0     17    0    2   364     156      1  0.0   0.0
 9     cli 4e14 O     0    581    3    0  1344   53919   1073  1.3   0.0
10 invoker 5398 P S   0      1    0    0   240     210      0  0.0   0.0
11   timer 0efc P S   0     48    0    0   252     204      2  0.0   0.0
12   tcpio 51fc P N   0      1    0    0   308    1060      1  0.0   0.0
13   udpio 5954 P N   0      1    0    0   280     447      0  0.0   0.0
14   udpio 5bc8 P N   0      1    0    0   280     319      0  0.0   0.0
------------------------------------------------------------------------

Context switches: 365
Timestamp  Id  Host              Ticks In            Ticks Out      uSecs
21:26.686   4  1c78          615450284126         615450284205^        31  
21:26.686   3  0ad0          615450285308         615450285392         33  
21:26.687   3  0ad0-         615450285439         615450288169       1078  
21:26.687   2  1a14-         615450285836         615450285897^        24  
21:26.687   1  4f08-         615450285890         615450285967^        30  
21:26.687   4  1c78          615450286007         615450286068^        24  
21:26.687   4  1c78-         615450286148         615450290029^      1533  
21:26.688   3  0ad0          615450288276         615450288378^        40  
21:26.688   3  0ad0-         615450288453         615450290777^       918  
21:26.688   4  1c78          615450290116         615450290182^        26  
21:26.688   4  1c78-         615450290252         615450319979^     11744  
21:26.689   3  0ad0          615450290861         615450290931^        27  
21:26.689   3  0ad0-         615450291004         615450293424^       956  
21:26.690   3  0ad0          615450293519         615450293599^        31  
21:26.690   3  0ad0-         615450293671         615450296394^      1075  
21:26.691   3  0ad0          615450296491         615450296567^        30  
21:26.691   3  0ad0-         615450296616         615450299809^      1261  
21:26.692   3  0ad0          615450299889         615450299962^        28  
21:26.692   3  0ad0-         615450300031         615450302676^      1044  
21:26.693   3  0ad0          615450302739         615450302795^        22  
21:26.693   3  0ad0-         615450302842         615450305714^      1134  
21:26.695   3  0ad0          615450305776         615450305831^        21  
21:26.695   3  0ad0-         615450305878         615450307882^       791  
21:26.695   3  0ad0          615450307974         615450308040^        26  
21:26.695   3  0ad0-         615450308088         615450310180^       826  
21:26.696   3  0ad0          615450310267         615450310339^        28  
21:26.696   3  0ad0-         615450310408         615450313112^      1068  
21:26.697   3  0ad0          615450313206         615450313273^        26  
21:26.698   3  0ad0-         615450313322         615450316438^      1231  
21:26.699   3  0ad0          615450316526         615450316600^        29  
21:26.699   3  0ad0-         615450316668         615450319477^      1109  
21:26.700   3  0ad0          615450319539         615450319593^        21  
21:26.700   3  0ad0-         615450319677         615450322391^      1072  
21:26.700   4  1c78          615450320060         615450320119^        23  
21:26.700   4  1c78-         615450320186         615450638351^    125694  
21:26.701   3  0ad0          615450322483         615450322564^        32  
21:26.701   3  0ad0-         615450322640         615450325155^       993  
21:26.702   3  0ad0          615450325235         615450325314^        31  
21:26.702   3  0ad0-         615450325378         615450327764^       942  
21:26.703   3  0ad0          615450327858         615450327942^        33  
21:26.703   3  0ad0-         615450328031         615450336206^      3229  
21:26.707   3  0ad0          615450336296         615450336378^        32  
21:26.707   3  0ad0-         615450336441         615450343833^      2920  
21:26.710   3  0ad0          615450343927         615450344013^        33  
21:26.710   3  0ad0-         615450344097         615450350945^      2705  
21:26.712   3  0ad0          615450351037         615450351078^        16  
21:26.718   2  1a14-         615450365001         615450365119^        46  
21:26.718   1  4f08-         615450365090         615450365168^        30  
21:26.749   2  1a14-         615450444193         615450444325^        52  
21:26.749   1  4f08-         615450444280         615450444402^        48  
21:26.780   2  1a14-         615450523286         615450523409^        48  
21:26.781   1  4f08-         615450523368         615450523484^        45  
21:26.812   2  1a14-         615450602441         615450602511^        27  
21:26.812   1  4f08-         615450602543         615450602753^        82  
21:26.826   4  1c78          615450638413         615450638464         20  
21:26.826   4  1c78-         615450638510         615450655593       6748  
21:26.833   4  1c78          615450655653         615450655720         26  
21:26.843   2  1a14-         615450682080         615450682223         56  
21:26.843   1  4f08-         615450682258         615450682402         56  
21:26.874   2  1a14-         615450761042         615450761142         39  
21:26.874   1  4f08-         615450761182         615450761308         49  
21:26.906   2  1a14-         615450840454         615450840846        154  
21:26.906   1  4f08-         615450840806         615450841185^       149  
21:26.937   2  1a14-         615450919545         615450919948        159  
21:26.968   2  1a14-         615450998684         615450999189        199  
21:26.968   1  4f08-         615450999032         615450999425^       155  
21:26.999   2  1a14-         615451077588         615451078052        183  
21:27.000   1  4f08-         615451077944         615451078195^        99  
21:27.031   2  1a14-         615451156604         615451156936        131  
21:27.031   1  4f08-         615451156952         615451157218        105  
21:27.062   2  1a14-         615451235872         615451236149        109  
21:27.062   1  4f08-         615451236279         615451236640        142  
21:27.093   2  1a14-         615451314853         615451315254        158  
21:27.093   1  4f08-         615451315209         615451315514^       120  
21:27.125   2  1a14-         615451394110         615451394415        120  
21:27.125   1  4f08-         615451394573         615451395020        176  
21:27.156   2  1a14-         615451473330         615451473842        202  
21:27.156   1  4f08-         615451473624         615451474027^       159  
21:27.187   2  1a14-         615451552558         615451552809         99  
21:27.187   1  4f08-         615451552832         615451553051         86  
21:27.218   2  1a14-         615451631798         615451632189        154  
21:27.219   1  4f08-         615451632335         615451632748        163  
21:27.250   2  1a14-         615451710884         615451711405        205  
21:27.250   1  4f08-         615451711341         615451711699^       141  
21:27.281   2  1a14-         615451790045         615451790493        176  
21:27.281   1  4f08-         615451790472         615451790962^       193  
21:27.312   6  22ac          615451869038         615451869344        120  
21:27.312   2  1a14-         615451869100         615451869464^       143  
21:27.312   6  22ac          615451869439         615451870688^       493  
21:27.312   1  4f08-         615451869502         615451869929^       168  
21:27.313   6  22ac          615451870881         615451872402        600  
