START OF TRACE: 19-Sep-2017 12:22:10.994 on Reigi

mm:ss.ttt  Thr  Event  TotalTime   NetTime  Function
22:15.458   15             27063     27063    :   RecoveryTestThread.LoopForever
22:15.485   15             27216     27216    :   RecoveryTestThread.LoopForever
22:15.513   15             32018     32018    :   RecoveryTestThread.LoopForever
22:15.545   15             36043     36043    :   RecoveryTestThread.LoopForever
22:15.581   15             31765     31765    :   RecoveryTestThread.LoopForever
22:15.613   15             28545     28545    :   RecoveryTestThread.LoopForever
22:15.641   15             27489     27489    :   RecoveryTestThread.LoopForever
22:15.669   15             27151     27151    :   RecoveryTestThread.LoopForever
22:15.696   15             26857     26857    :   RecoveryTestThread.LoopForever
22:15.723   15             27122     27122    :   RecoveryTestThread.LoopForever
22:15.750   15             27092     27092    :   RecoveryTestThread.LoopForever
22:15.777   15             26712     26712    :   RecoveryTestThread.LoopForever
22:15.804   15             30827     30827    :   RecoveryTestThread.LoopForever
22:15.834   15             28541     28541    :   RecoveryTestThread.LoopForever
22:15.863   15             27078     27078    :   RecoveryTestThread.LoopForever
22:15.890   15             27011     27011    :   RecoveryTestThread.LoopForever
22:15.917   15             26735     26735    :   RecoveryTestThread.LoopForever
22:15.944   15             26955     26955    :   RecoveryTestThread.LoopForever
22:15.971   15             26843     26843    :   RecoveryTestThread.LoopForever
22:15.998   15             26766     26766    :   RecoveryTestThread.LoopForever
22:16.024   15             31937     31937    :   RecoveryTestThread.LoopForever
22:16.056   15             27890     27890    :   RecoveryTestThread.LoopForever
22:16.084   15             27227     27227    :   RecoveryTestThread.LoopForever
22:16.111   15             27387     27387    :   RecoveryTestThread.LoopForever
22:16.139   15             27162     27162    :   RecoveryTestThread.LoopForever
22:16.166   15             26876     26876    :   RecoveryTestThread.LoopForever
22:16.193   15             27245     27245    :   RecoveryTestThread.LoopForever
22:16.220   15             28896     28896    :   RecoveryTestThread.LoopForever
22:16.249   15             28741     28741    :   RecoveryTestThread.LoopForever
22:16.278   15             27539     27539    :   RecoveryTestThread.LoopForever
22:16.305   15             27279     27279    :   RecoveryTestThread.LoopForever
22:16.332   15             27086     27086    :   RecoveryTestThread.LoopForever
22:16.360   15             26996     26996    :   RecoveryTestThread.LoopForever
22:16.387   15             26893     26893    :   RecoveryTestThread.LoopForever
22:16.413   15             26772     26772    :   RecoveryTestThread.LoopForever
22:16.440   15             28852     28852    :   RecoveryTestThread.LoopForever
22:16.469   15             29488     29488    :   RecoveryTestThread.LoopForever
22:16.499   15             27312     27312    :   RecoveryTestThread.LoopForever
22:16.526   15             27185     27185    :   RecoveryTestThread.LoopForever
22:16.553   15             27042     27042    :   RecoveryTestThread.LoopForever
22:16.580   15             26930     26930    :   RecoveryTestThread.LoopForever
22:16.607   15             26725     26725    :   RecoveryTestThread.LoopForever
22:16.634   15             27187     27187    :   RecoveryTestThread.LoopForever
22:16.661   15             28898     28898    :   RecoveryTestThread.LoopForever
22:16.690   15             29977     29977    :   RecoveryTestThread.LoopForever
22:16.720   15             28553     28553    :   RecoveryTestThread.LoopForever
22:16.748   15             27196     27196    :   RecoveryTestThread.LoopForever
22:16.776   15             26778     26778    :   RecoveryTestThread.LoopForever
22:16.802   15             26941     26941    :   RecoveryTestThread.LoopForever
22:16.829   15             26845     26845    :   RecoveryTestThread.LoopForever
22:16.856   15             26717     26717    :   RecoveryTestThread.LoopForever
22:16.883   15             28391     28391    :   RecoveryTestThread.LoopForever
22:16.911   15             30145     30145    :   RecoveryTestThread.LoopForever
22:16.941   15             27330     27330    :   RecoveryTestThread.LoopForever
22:16.969   15             26935     26935    :   RecoveryTestThread.LoopForever
22:16.996   15             26921     26921    :   RecoveryTestThread.LoopForever
22:17.023   15             26918     26918    :   RecoveryTestThread.LoopForever
22:17.049   15             26836     26836    :   RecoveryTestThread.LoopForever
22:17.076   15             26729     26729    :   RecoveryTestThread.LoopForever
22:17.103   15             31745     31745    :   RecoveryTestThread.LoopForever
22:17.135   15             27603     27603    :   RecoveryTestThread.LoopForever
22:17.162   15             27473     27473    :   RecoveryTestThread.LoopForever
22:17.190   15             27058     27058    :   RecoveryTestThread.LoopForever
22:17.217   15             27027     27027    :   RecoveryTestThread.LoopForever
22:17.244   15             27105     27105    :   RecoveryTestThread.LoopForever
22:17.271   15             27388     27388    :   RecoveryTestThread.LoopForever
22:17.298   15             28380     28380    :   RecoveryTestThread.LoopForever
22:17.327   15             30825     30825    :   RecoveryTestThread.LoopForever
22:17.358   15             27603     27603    :   RecoveryTestThread.LoopForever
22:17.385   15             26876     26876    :   RecoveryTestThread.LoopForever
22:17.412   15             27031     27031    :   RecoveryTestThread.LoopForever
22:17.439   15             26876     26876    :   RecoveryTestThread.LoopForever
22:17.466   15             26633     26633    :   RecoveryTestThread.LoopForever
22:17.493   15             27133     27133    :   RecoveryTestThread.LoopForever
22:17.520   15             30112     30112    :   RecoveryTestThread.LoopForever
22:17.550   15             31791     31791    :   RecoveryTestThread.LoopForever
22:17.582   15             38048     38048    :   RecoveryTestThread.LoopForever
22:17.620   15             30042     30042    :   RecoveryTestThread.LoopForever
22:17.650   15             27041     27041    :   RecoveryTestThread.LoopForever
22:17.677   15             26871     26871    :   RecoveryTestThread.LoopForever
22:17.704   15             27047     27047    :   RecoveryTestThread.LoopForever
22:17.731   15             26973     26973    :   RecoveryTestThread.LoopForever
22:17.758   15             30831     30831    :   RecoveryTestThread.LoopForever
22:17.789   15             28852     28852    :   RecoveryTestThread.LoopForever
22:17.817   15             27173     27173    :   RecoveryTestThread.LoopForever
22:17.845   15             27600     27600    :   RecoveryTestThread.LoopForever
22:17.872   15             26964     26964    :   RecoveryTestThread.LoopForever
22:17.899   15             26835     26835    :   RecoveryTestThread.LoopForever
22:17.926   15             26880     26880    :   RecoveryTestThread.LoopForever
22:17.953   15             27853     27853    :   RecoveryTestThread.LoopForever
