START OF TRACE: 24-Oct-2019 14:16:18.647 on Reigi

mm:ss.ttt  Thr  Event  TotalTime   NetTime  Function
---------  ---  -----  ---------   -------  --------
16:18.692   12              1599         9    :   Thread.ExitBlockingOperation
16:18.692   12                12         6    :   : Thread.RunningThread
16:18.692   12                 6         6    :   :   ThreadRegistry.FindThread
16:18.692   12              1578         6    :   : Thread.Ready
16:18.692   12              1572        19    :   :   SysThread.Wait
16:18.692   12              1553      1553    :   :   : SysThread.Suspend
16:18.693   12                 0         0    :   : SysSocket.SetError
16:19.713   15>                6         6    : SysMutex.Acquire
16:19.713   15                15         8    MutexGuard.dtor
16:19.713   15                 7         7    : SysMutex.Release
16:19.713   15                26         8  Thread.Resume
16:19.713   15                 8         8    Thread.InitialMsecs
16:19.713   15                10        10    ThreadAdmin.WarpFactor
16:19.713   15            954544    954544  Thread.RegisterForSignals
16:19.744   15             32157     32157    : RecoveryTestThread.LoopForever
16:19.777   15             31640     31640    : RecoveryTestThread.LoopForever
16:19.808   15             31055     31055    : RecoveryTestThread.LoopForever
16:19.839   15             31428     31428    : RecoveryTestThread.LoopForever
16:19.871   15             30915     30915    : RecoveryTestThread.LoopForever
16:19.902   15             32386     32386    : RecoveryTestThread.LoopForever
16:19.934   15             32670     32670    : RecoveryTestThread.LoopForever
16:19.967   15             31386     31386    : RecoveryTestThread.LoopForever
16:19.998   15             31866     31866    : RecoveryTestThread.LoopForever
16:20.030   15             32913     32913    : RecoveryTestThread.LoopForever
16:20.063   15             33020     33020    : RecoveryTestThread.LoopForever
16:20.096   15             32675     32675    : RecoveryTestThread.LoopForever
16:20.129   15             34454     34454    : RecoveryTestThread.LoopForever
16:20.163   15             33187     33187    : RecoveryTestThread.LoopForever
16:20.196   15             32689     32689    : RecoveryTestThread.LoopForever
16:20.229   15             31813     31813    : RecoveryTestThread.LoopForever
16:20.261   15             32539     32539    : RecoveryTestThread.LoopForever
16:20.293   15             31171     31171    : RecoveryTestThread.LoopForever
16:20.324   15             32642     32642    : RecoveryTestThread.LoopForever
16:20.357   15             34945     34945    : RecoveryTestThread.LoopForever
16:20.392   15             32879     32879    : RecoveryTestThread.LoopForever
16:20.425   15             34267     34267    : RecoveryTestThread.LoopForever
16:20.459   15             32842     32842    : RecoveryTestThread.LoopForever
16:20.492   15             33723     33723    : RecoveryTestThread.LoopForever
16:20.526   15             35268     35268    : RecoveryTestThread.LoopForever
16:20.561   15             36863     36863    : RecoveryTestThread.LoopForever
16:20.598   15             36855     36855    : RecoveryTestThread.LoopForever
16:20.635   15             32467     32467    : RecoveryTestThread.LoopForever
16:20.667   15                 0         0    : RecoveryTestThread.LoopForever
16:20.693   12>               47         9    :   Thread.ExitBlockingOperation
16:20.693   12                27         6    :   : Thread.RunningThread
16:20.693   12                21        21    :   :   ThreadRegistry.FindThread
16:20.694   12                11         6    :   : Thread.Ready
16:20.694   12                 5         5    :   :   SysThread.Wait
16:20.694   12                 0         0    :   :   : SysThread.Suspend
16:20.699   15>            30428     30428    : RecoveryTestThread.LoopForever
16:20.729   15             30238     30238    : RecoveryTestThread.LoopForever
16:20.759   15             30575     30575    : RecoveryTestThread.LoopForever
16:20.790   15             30172     30172    : RecoveryTestThread.LoopForever
16:20.820   15             32465     32465    : RecoveryTestThread.LoopForever
16:20.853   15             32647     32647    : RecoveryTestThread.LoopForever
16:20.885   15             31359     31359    : RecoveryTestThread.LoopForever
16:20.917   15             30038     30038    : RecoveryTestThread.LoopForever
16:20.947   15             30016     30016    : RecoveryTestThread.LoopForever
16:20.977   15             30903     30903    : RecoveryTestThread.LoopForever
16:21.008   15             34651     34651    : RecoveryTestThread.LoopForever
16:21.042   15             32861     32861    : RecoveryTestThread.LoopForever
16:21.075   15             34672     34672    : RecoveryTestThread.LoopForever
16:21.110   15             30886     30886    : RecoveryTestThread.LoopForever
16:21.141   15             29429     29429    : RecoveryTestThread.LoopForever
16:21.170   15             30318     30318    : RecoveryTestThread.LoopForever
16:21.200   15             40288     40288    : RecoveryTestThread.LoopForever
16:21.241   15             33241     33241    : RecoveryTestThread.LoopForever
16:21.274   15             32083     32083    : RecoveryTestThread.LoopForever
16:21.306   15             30683     30683    : RecoveryTestThread.LoopForever
16:21.337   15             30662     30662    : RecoveryTestThread.LoopForever
16:21.367   15             30541     30541    : RecoveryTestThread.LoopForever
16:21.398   15             30717     30717    : RecoveryTestThread.LoopForever
16:21.429   15             34208     34208    : RecoveryTestThread.LoopForever
16:21.463   15             30370     30370    : RecoveryTestThread.LoopForever
16:21.493   15             30436     30436    : RecoveryTestThread.LoopForever
16:21.524   15             29845     29845    : RecoveryTestThread.LoopForever
16:21.553   15             30229     30229    : RecoveryTestThread.LoopForever
16:21.584   15             29804     29804    : RecoveryTestThread.LoopForever
16:21.614   15             31410     31410    : RecoveryTestThread.LoopForever
16:21.645   15             33414     33414    : RecoveryTestThread.LoopForever
16:21.678   15             31519     31519    : RecoveryTestThread.LoopForever
16:21.710   15             29966     29966    : RecoveryTestThread.LoopForever
16:21.740   15             30858     30858    : RecoveryTestThread.LoopForever
16:21.771   15             30089     30089    : RecoveryTestThread.LoopForever
16:21.801   15             29889     29889    : RecoveryTestThread.LoopForever
16:21.831   15             33181     33181    : RecoveryTestThread.LoopForever
16:21.864   15             32568     32568    : RecoveryTestThread.LoopForever
16:21.896   15             30704     30704    : RecoveryTestThread.LoopForever
16:21.927   15             30411     30411    : RecoveryTestThread.LoopForever
16:21.958   15             30090     30090    : RecoveryTestThread.LoopForever
16:21.988   15             30230     30230    : RecoveryTestThread.LoopForever
16:22.018   15             31231     31231    : RecoveryTestThread.LoopForever
16:22.049   15             32159     32159    : RecoveryTestThread.LoopForever
16:22.081   15             33768     33768    : RecoveryTestThread.LoopForever
16:22.115   15             30944     30944    : RecoveryTestThread.LoopForever
16:22.146   15             30915     30915    : RecoveryTestThread.LoopForever
16:22.177   15             29714     29714    : RecoveryTestThread.LoopForever
16:22.207   15             37401     37401    : RecoveryTestThread.LoopForever
16:22.244   15             33021     33021    : RecoveryTestThread.LoopForever
16:22.277   15             31918     31918    : RecoveryTestThread.LoopForever
16:22.309   15             30032     30032    : RecoveryTestThread.LoopForever
16:22.339   15             30891     30891    : RecoveryTestThread.LoopForever
16:22.370   15             31088     31088    : RecoveryTestThread.LoopForever
16:22.401   15             29524     29524    : RecoveryTestThread.LoopForever
16:22.430   15             32523     32523    : RecoveryTestThread.LoopForever
16:22.463   15             32035     32035    : RecoveryTestThread.LoopForever
16:22.495   15             30590     30590    : RecoveryTestThread.LoopForever
16:22.526   15             30186     30186    : RecoveryTestThread.LoopForever
16:22.556   15             29745     29745    : RecoveryTestThread.LoopForever
16:22.586   15             30153     30153    : RecoveryTestThread.LoopForever
16:22.616   15             32900     32900    : RecoveryTestThread.LoopForever
16:22.649   15             37997     37997    : RecoveryTestThread.LoopForever
16:22.687   15             34191     34191    : RecoveryTestThread.LoopForever
16:22.721   15             36717     36717    : RecoveryTestThread.LoopForever
16:22.758   15             31571     31571    : RecoveryTestThread.LoopForever
16:22.789   15             30554     30554    : RecoveryTestThread.LoopForever
16:22.820   15             29518     29518    : RecoveryTestThread.LoopForever
16:22.849   15             32974     32974    : RecoveryTestThread.LoopForever
16:22.882   15             32778     32778    : RecoveryTestThread.LoopForever
16:22.915   15             30648     30648    : RecoveryTestThread.LoopForever
16:22.946   15             30122     30122    : RecoveryTestThread.LoopForever
16:22.976   15             30289     30289    : RecoveryTestThread.LoopForever
